"sample","batch01_QC01","batch01_QC02","batch01_QC03","batch01_QC04","batch01_QC05","batch01_QC06","batch01_QC07","batch02_QC08","batch02_QC09","batch02_QC10","batch02_QC11","batch03_QC12","batch03_QC13","batch03_QC14","batch03_QC15","batch04_QC16","batch04_QC17","batch04_QC18","batch04_QC19","batch05_QC20","batch05_QC21","batch05_QC22","batch05_QC23","batch05_QC24","batch06_QC25","batch06_QC26","batch06_QC27","batch06_QC28","batch06_QC29","batch07_QC30","batch07_QC31","batch07_QC32","batch07_QC33","batch07_QC34","batch08_QC36","batch08_QC37","batch08_QC38","batch08_QC39"
"batch","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","4","4","4","4"
"78.02055"," 917.1363","1030.0609"," 946.1624","1009.0992","1098.5187","1039.1358"," 982.8871"," 888.3214","1021.8277","1012.5145","1085.5038"," 769.1779","1112.4348"," 923.1305"," 998.4206","1079.0330","1059.4643"," 794.6639","1249.6264"," 878.9959","1174.0548"," 630.2556","1042.5873"," 914.1478","1204.6176"," 845.6103","1040.9010"," 862.2482"," 636.7973","1301.6999"," 997.8026"," 951.1188","1105.0630"," 978.0195"," 879.1422"," 994.2935","1030.3714","1070.0595"
"452.00345"," 657.0967","1213.7419","1035.8098","1019.9151"," 718.5425","1111.2797"," 973.3626"," 937.9541"," 996.0842","1137.6222"," 961.1978"," 791.8181","1024.5635","1052.2097"," 957.3670","1126.9021"," 889.7867"," 976.6355","1231.6202"," 647.0731"," 901.6969","1029.8499","1098.0283"," 817.4572","1188.1848","1146.6858"," 691.5150","1233.4389"," 781.3285","1095.5554"," 998.4656","1083.5060"," 976.4420"," 946.7043","1085.5224","1009.5759"," 926.4586","1033.0036"
"138.96337","1076.9890"," 915.1853"," 991.5857"," 973.5339"," 985.2342","1045.5161","1040.6109"," 919.4084","1047.9845"," 932.7787","1056.4663","1041.6366"," 824.0162","1098.3185"," 871.1342","1023.3943","1039.5124","1006.1702"," 894.1676","1127.7199","1110.9982"," 918.8413","1044.9538"," 941.2762"," 952.9298"," 976.2781","1084.0714","1040.0296","1029.9724"," 841.8415","1082.7794","1041.9038"," 767.8453","1267.7594"," 938.8634","1061.4439"," 816.8222","1005.9412"
"73.53838"," 981.3260"," 974.1036"," 993.2795","1015.1006","1003.9721","1063.4027"," 955.7072"," 985.0572"," 936.0766","1035.9168","1086.7839"," 963.1597","1021.2602"," 892.1722","1121.9239"," 915.8821","1000.8078"," 937.0089","1102.8054"," 985.0772","1013.6728"," 928.2014","1043.5426","1025.6193"," 970.3524"," 979.2479","1073.2620"," 903.4469","1092.4318"," 930.7479","1058.9936"," 964.1027","1044.1661"," 904.6640"," 967.6319","1093.8155"," 931.7966","1061.0335"
"385.12885"," 993.9608","1028.4673","1003.9207"," 934.5391","1030.4501"," 977.0539"," 994.8516"," 985.8466","1009.0988","1041.4803"," 928.7232","1069.5054"," 989.6806"," 970.1967"," 945.5279","1054.3962"," 986.4305"," 993.2611"," 956.9908","1018.7198","1067.4352","1026.6309"," 967.1067"," 964.8570"," 982.1242","1011.0464","1061.4744"," 951.3064","1080.7322"," 912.0000"," 952.7357"," 992.7626","1007.2784","1003.9691"," 997.9968","1062.8775"," 980.5990"," 988.3317"
"237.02815"," 954.5909"," 977.1003","1069.2276","1002.6397","1059.4482"," 982.0576"," 906.9229"," 912.4539","1270.0234"," 823.1625"," 903.8755","1139.1622","1035.8951"," 889.4977"," 950.3146","1013.7740","1064.3308","1018.2611"," 971.1044"," 977.2844","1006.1617","1056.9777"," 965.8479","1045.2819"," 906.5295"," 991.4137","1080.5850","1015.4332","1018.3970"," 906.7621"," 787.1800","1232.5022"," 849.4382","1075.4645"," 843.3179","1123.3747"," 996.2019"," 954.8740"
"222.02744","1038.3856"," 941.0691","1064.8972"," 994.8541"," 982.5216"," 990.9627"," 969.4743"," 999.1950","1007.5419"," 974.9490"," 939.4305","1092.4501"," 994.5739"," 896.9043","1028.2856","1019.5425"," 964.5899"," 972.1568"," 998.0123","1028.6871","1033.8400"," 937.5818","1022.9678","1049.0724"," 986.3414"," 937.2431","1065.7796"," 874.4889"," 776.3512","1256.8619","1064.4703"," 939.5692","1068.0735"," 980.6051"," 998.5471","1005.3573"," 921.0418","1063.4578"
"399.33298","1020.4369"," 981.1562"," 995.5232"," 998.4398","1027.2153"," 987.2988","1006.7913"," 995.7371"," 949.8089","1057.6215"," 970.9447"," 994.7732"," 991.1779"," 980.2556"," 984.5791","1072.2247"," 874.6159"," 951.8772"," 927.4915","1137.6992"," 927.4746","1036.1254","1005.9552"," 892.8977","1091.9391"," 935.3176","1088.1450"," 909.9832"," 993.4422"," 990.9566","1065.5619"," 963.5262","1013.0841","1020.3796"," 963.0300","1025.2476"," 950.5579","1029.4501"
"394.23541"," 926.3053","1067.3087","1024.2919","1006.3351"," 942.1925","1045.7135"," 990.3005","1008.1579"," 941.9316","1036.2019"," 962.3655","1059.4560","1013.1561"," 948.8770"," 982.0485","1056.8097"," 967.9176","1020.9770"," 929.8838","1024.8028"," 978.5516","1026.4705"," 958.4826"," 941.3337","1112.0262"," 907.6489","1037.1790","1023.2245","1007.2150"," 894.3864","1073.1222"," 964.5959","1033.7256"," 967.2855","1015.9469","1005.3195"," 999.0438"," 944.8717"
"428.03716","1021.3944","1000.8220","1007.1688"," 934.0322","1025.6663","1018.3911"," 938.0895","1052.4479"," 946.2573","1061.4700"," 999.8754"," 975.9850","1001.2716","1009.3856"," 971.0595","1036.0828"," 935.2881","1025.8588"," 897.3380","1038.7131","1104.3975"," 982.8904","1005.5178","1014.4791"," 941.6611","1014.1313","1076.5323"," 928.2410"," 980.0161","1013.2046","1013.8865"," 974.7748","1033.9266","1056.8192"," 945.1339","1075.0384"," 918.7650","1010.0796"
"207.01423"," 969.7980","1044.2852"," 996.7332","1013.5930"," 996.0024"," 953.9661","1077.4226","1004.1190","1006.8606","1001.9911"," 932.7776"," 986.9235","1001.7555","1073.6556"," 936.0864","1063.1169"," 979.5600"," 996.0333","1007.9599"," 966.0757"," 980.6354","1026.7389"," 984.4856"," 973.2931","1016.0900","1031.2579"," 937.2122","1063.2865"," 962.1547","1032.2675"," 932.7564","1053.1034"," 947.2592","1062.0469"," 994.1016"," 945.9192","1029.2950"," 981.6371"
"210.06077"," 853.5842","1129.8172","1093.7961"," 729.9309"," 966.1068","1189.5843"," 725.7361","1200.9788"," 922.4594","1158.9006"," 636.3707","1115.9365","1084.8507"," 900.1804","1025.7794","1045.5306","1021.8265"," 854.5061","1010.0493","1027.0486","1100.8306"," 990.6523"," 943.0675"," 947.5602","1097.7822"," 899.9831"," 833.9894","1101.5457"," 820.6378","1138.6824","1055.7952"," 881.4238","1073.1385"," 932.6325"," 993.9793","1046.0648"," 987.0613","1026.2337"
"397.06669"," 981.5500"," 948.1229","1036.8819"," 992.5078","1044.8757"," 990.7412"," 892.3110"," 926.8549","1291.4640"," 850.6452"," 935.9948","1096.0800","1029.9296"," 873.9055"," 988.4183","1012.2042"," 994.5865"," 983.7382","1098.4047"," 899.3864","1028.5686","1032.6648"," 994.8219","1008.7876"," 901.4670","1113.2286"," 961.2428","1033.1803"," 992.5513"," 988.8820"," 920.3795","1111.6464"," 836.6077"," 965.0262","1026.5009","1003.3971","1040.3787","1063.2291"
"315.03262","1022.6922","1095.6524"," 838.9839","1101.6586"," 967.7954","1062.1712"," 970.8700","1017.6268"," 919.9908","1048.7673"," 995.7852"," 919.2169","1048.4891"," 970.7268","1080.6319"," 964.2679"," 995.0412"," 940.6016","1052.1776"," 994.7410"," 933.6416"," 996.4535","1003.6091","1014.6213"," 986.9615","1104.6396","1035.4257"," 832.7091"," 971.0282","1008.7768","1111.8690"," 952.2516","1013.0901","1014.9203"," 992.4980"," 914.7119","1068.4310","1002.2101"
"174.08419"," 965.5258","1005.5075","1035.9722"," 988.0193","1018.6649"," 993.0272"," 993.4241"," 992.2146","1031.0105"," 894.6951","1019.3396","1045.5167"," 983.0355"," 974.0624","1031.8200"," 971.5860","1080.5438"," 933.2877","1014.9548"," 957.9083","1076.8567","1030.5774"," 928.0968"," 993.2668","1059.5691"," 930.7503","1024.5860"," 923.4471"," 711.2992","1267.1045"," 991.0966"," 994.8071","1052.2585"," 958.9695","1073.9970"," 977.6461","1003.5047"," 941.2954"
"438.14243"," 978.5674"," 984.9718","1073.7865"," 901.4542","1019.4055"," 991.1530","1000.4562","1046.5815"," 933.0802","1053.1672"," 963.3847","1059.7341"," 900.0129","1012.7552","1000.9249","1055.1633"," 981.8639","1025.5051","1071.2900"," 889.4904"," 983.9229","1043.8521"," 979.3860"," 987.1113"," 997.9863","1044.9264"," 941.7553","1017.4928"," 846.9634","1168.5718","1016.8920"," 990.1210"," 962.9548","1036.4931"," 944.0778","1079.7600"," 968.7182"," 964.8664"
"161.0295","1082.8754"," 907.1681","1047.2292"," 933.1211","1033.8897"," 945.9538","1055.8330"," 991.9472","1033.5085"," 983.2128","1024.1048"," 898.7649"," 933.4257","1047.9183"," 964.2663","1102.1457"," 897.9908"," 998.5617","1124.1041"," 900.4752","1036.5016"," 916.0972","1003.3385","1003.1163"," 978.8929","1164.2246"," 986.6352"," 929.2389","1034.4254"," 977.8962"," 900.0872","1056.5113"," 965.1610","1033.3748"," 977.4396"," 978.1128","1008.6116","1008.9757"
"173.98804"," 846.3365","1122.4993"," 923.0810","1169.0613"," 954.1319"," 890.1170","1091.1851","1009.9849","1078.6429"," 828.3314","1043.3651","1005.5182"," 975.0813","1097.3883","1087.9434"," 895.4716"," 980.4655","1043.4603","1010.2395","1000.8311"," 916.7852","1022.1855","1043.6438"," 871.7994","1101.8724"," 964.6699","1023.9220","1011.5353","1050.6296"," 913.3415","1062.7700"," 992.2143"," 816.9482","1211.8472"," 832.1724"," 969.4264"," 993.7259","1115.9617"
"133.07219","1026.7769","1028.9301"," 917.6800"," 855.5533","1281.9960"," 874.7404"," 822.9748","1197.6442"," 818.6970","1157.8687"," 947.8574","1041.0836","1057.3404"," 746.1926","1083.6853"," 980.1766","1000.4012"," 989.7261","1055.0883","1005.2153"," 906.3040","1045.1472","1066.8070","1015.2510"," 947.4727"," 818.2111","1241.4302"," 919.4594"," 995.3092"," 942.2390"," 885.6127"," 981.3835","1049.4968","1008.4617"," 981.0837","1035.5975"," 945.5717","1066.3685"
"407.14259","1012.3680"," 959.4432","1067.3388"," 906.7067","1074.1176"," 949.7733","1085.6562"," 980.0646"," 861.0074","1021.4683","1000.1605","1090.1542"," 925.2856"," 982.8115","1065.9402"," 984.0203"," 955.8562","1087.8548"," 996.8846","1002.8054"," 766.6398","1009.5266","1124.2340","1044.5708"," 836.4060"," 916.5963","1080.6551","1010.8315"," 900.7416","1060.4486","1088.6242"," 935.6910","1007.9157","1051.6678"," 991.4000"," 987.9954"," 970.5678"," 994.7809"
"451.97517","1012.9037","1033.0723"," 998.4718"," 970.0465"," 928.6613"," 998.5120","1027.2037","1036.5349","1011.1637"," 898.6518","1008.0729"," 997.9358","1020.1128","1106.1978"," 996.2057"," 896.2469","1085.9161"," 864.1231"," 990.9178","1086.0628","1040.0305","1008.5474"," 972.4731"," 985.8363"," 992.2133","1060.4788"," 950.0032","1040.8982"," 944.6457","1053.9314","1006.6425","1003.4388"," 935.1693"," 988.8641","1084.0835"," 937.1707","1044.3701"," 989.2595"
"167.02071","1017.2574"," 985.5360","1018.0274","1009.5879","1003.8977"," 955.9632","1050.5580"," 982.2152","1016.1067"," 992.3608"," 996.9353"," 964.7110","1000.0788","1034.5376"," 978.6963","1032.8622"," 979.6897"," 965.6470"," 996.4802","1012.2568","1033.4529","1003.8765"," 982.4369"," 945.3111","1061.5478","1015.9537"," 963.1570","1011.3661"," 906.5057","1083.1202"," 977.1333","1011.2115"," 988.0685","1026.8104"," 980.9357","1014.6327"," 979.8466","1005.9534"
"500.2254","1234.6157"," 691.5919","1048.7798","1126.4661"," 686.3756","1249.1858"," 861.6049","1161.3544"," 705.3498","1296.8532"," 928.3525","1045.3697"," 841.0757"," 856.4276","1027.7701","1170.9870"," 767.4748","1245.3285","1050.3405"," 851.4965"," 892.7677"," 802.5040","1172.2066"," 765.6748","1258.6727"," 879.8087","1012.0801","1132.6396"," 800.1440","1106.9721"," 828.8008","1038.0145","1036.1403","1206.1419"," 699.1317","1399.4632"," 880.4153"," 805.2176"
"133.06077","1043.4456"," 972.7554"," 996.5715"," 963.5205"," 990.2439","1077.6094"," 930.4564","1022.9032"," 963.1737","1051.0104"," 965.4713","1003.3019","1010.9201"," 969.3866","1042.3544"," 982.8668"," 946.6383"," 973.5923","1092.2376"," 959.9975","1032.1851"," 946.9803"," 987.2838","1035.0120"," 976.8767","1028.6899","1051.8771"," 867.8634","1089.7394"," 932.4585","1056.1500"," 939.2858","1059.1295"," 970.9857","1027.2148"," 995.8023"," 922.5238","1060.3226"
"553.32542","1073.1795"," 833.3423"," 975.7968","1225.9766"," 963.8125"," 993.8296"," 950.5024","1039.1531"," 879.1741","1012.2916","1036.7766","1106.0993"," 726.1733","1047.4514","1180.5176"," 847.0186","1135.5097"," 590.0946"," 709.4764","1329.8588","1036.9979"," 959.6964","1001.3974"," 926.5098","1118.5280"," 912.8415","1059.0692"," 977.2973","1017.6120"," 934.7267","1033.3470"," 959.3310"," 995.9151"," 977.7631","1051.3236"," 990.8150","1010.1039"," 884.8520"
"170.0326","1002.7814"," 978.3832","1018.2914"," 975.5995","1021.7901","1020.9176"," 980.8270"," 958.9266","1030.4721","1017.9732"," 999.3714"," 966.7323","1033.0293"," 967.1764"," 976.9737","1073.3339"," 928.9701","1014.1081"," 882.8036","1120.8298"," 988.8611","1021.3336"," 978.8905","1011.3052"," 982.1503","1018.2985","1006.9666"," 995.1347","1055.9340"," 879.0866"," 959.9900"," 973.7551","1019.4074"," 985.8593","1002.9432","1039.2883"," 967.9766","1024.4172"
"211.10945"," 990.8902","1077.7415"," 953.6280"," 946.7884"," 914.3620","1067.4263"," 998.1818","1009.6701"," 942.7563","1019.0567"," 975.1111","1037.7290"," 964.1963","1071.2806"," 975.0764"," 883.3578","1071.5261","1140.3365"," 955.9861"," 911.5703"," 975.9847","1149.1306"," 939.7220"," 888.2565","1193.6521"," 659.7107","1040.6225","1116.6428","1087.3317"," 699.3600","1083.6883"," 991.7993","1059.6033"," 911.7100","1031.4985","1046.9608","1026.6431"," 976.9533"
"203.05255","1012.5535","1002.3726"," 988.4387"," 990.0298","1004.3012","1002.0634","1009.6176"," 996.8101"," 987.7117","1009.5279","1002.5748"," 992.3327","1008.3482","1000.7816","1010.9715"," 991.1137"," 989.5523","1007.2372","1023.9629"," 973.5073","1024.6757"," 970.8349","1016.0220","1018.6869"," 966.4070","1020.1261","1039.7067"," 966.4574","1096.0603"," 887.3928","1006.4226"," 970.8106","1027.5244"," 977.9157"," 977.1025","1029.2468"," 968.0230","1025.9358"
"170.06172"," 979.1305"," 988.3651"," 995.8438","1080.5822","1012.1858"," 934.4656","1031.3361","1038.6946"," 961.3611","1008.9907","1013.6987"," 934.0498","1019.0762","1071.3746"," 978.9974"," 957.9411"," 989.9157","1093.7659"," 984.9936"," 999.4156"," 937.6353","1016.7117","1003.2299","1001.2414"," 994.8022"," 996.1363","1005.4558","1023.8591"," 965.4099","1020.6918"," 991.8308"," 943.2296","1078.5836"," 989.9511"," 981.7812"," 979.4339","1026.1361"," 964.1461"
"324.24879"," 980.6477","1038.8181"," 948.9828","1021.7882","1022.4307","1027.2057"," 944.4119","1028.7654"," 960.0936","1054.1196"," 948.5179","1061.6841"," 935.2681","1051.7495"," 985.9697"," 969.8077","1060.2663"," 991.6947"," 994.5249"," 900.1459","1002.5238","1015.9316","1035.8685"," 894.2098","1128.5281","1016.7403","1044.5171"," 930.8993"," 893.6111","1049.2215"," 985.4262","1000.8172","1015.9529","1086.1367"," 989.4951"," 934.3229","1053.1740"," 904.5713"
"245.13234"," 973.3524"," 853.9450","1103.1727"," 949.5626","1091.4495","1048.4679","1082.7835"," 910.1915"," 754.1533","1135.9354","1134.6357"," 986.0111"," 999.6496"," 829.6931"," 885.6592","1121.9941"," 866.4255","1228.0965"," 968.8496"," 798.9698","1105.9384"," 890.1018","1058.4956","1027.1632"," 960.8457","1002.5964","1002.5888","1064.1100","1154.9442"," 792.3761"," 952.0055"," 927.1071","1198.6609","1002.7499"," 696.3816","1193.1045"," 802.5821","1185.6648"
"102.09132"," 947.9998","1022.8432","1040.3206"," 960.5700"," 988.1792","1052.0504"," 983.7093"," 954.7355","1037.4290"," 938.6507","1079.0266"," 958.4181"," 990.3347"," 984.7797","1052.7542"," 972.2791"," 968.6418"," 995.2350"," 981.5321","1046.5158"," 986.0293"," 994.7536","1035.0054"," 915.6327","1032.7408","1019.8921","1050.9167"," 954.6864"," 666.1139","1275.7818","1035.2880","1003.4454","1022.1225"," 995.8985"," 857.7802","1010.3608","1009.0391","1088.0281"
"263.13186","1019.0091"," 978.2126","1018.8062"," 982.9093"," 981.8256","1051.8085"," 905.2676","1018.3216"," 961.3519","1028.7084","1049.9864"," 957.0278","1059.8168"," 927.8154"," 997.9681","1050.0895"," 943.0538","1031.4133"," 982.4298"," 998.4898"," 990.9322"," 998.9900","1033.2837"," 995.4911"," 967.9200","1028.0288","1039.7013"," 956.8158","1028.1044"," 976.4487","1031.7319"," 945.5113","1041.6798"," 981.7249"," 948.9164","1068.8139"," 974.7163"," 990.2086"
"228.99584","1070.5679"," 884.6214","1083.8923"," 959.1898","1054.8539"," 975.8464","1010.7976"," 948.6727"," 946.5242","1012.2215","1065.0246","1025.8690"," 973.2695"," 947.1153"," 973.9832","1050.9739"," 959.9485","1029.2219"," 899.4985","1086.0643","1052.7867"," 908.2543","1064.2693","1107.5256"," 792.5261","1021.9763","1029.3078"," 985.0983"," 958.1156","1089.5895"," 935.8106","1097.8206"," 989.0557","1007.5186"," 826.2193","1149.3167"," 809.5062","1177.6252"
"470.9348"," 907.6963","1058.8318","1046.2346"," 994.2578"," 917.1590"," 991.0091","1048.1577"," 981.7346","1091.3258"," 837.5824"," 978.3685","1040.9537","1106.1315"," 984.9091","1033.3144"," 844.5228","1102.5997"," 969.9204"," 966.5503","1025.2589"," 987.8022","1032.3031"," 962.7435"," 973.4481","1028.3505","1076.3927"," 941.0061","1053.3336"," 863.1658","1087.2170"," 914.3406","1091.3921"," 909.8354","1004.6821","1083.1310"," 919.3597","1094.1606"," 972.1274"
"242.07889"," 964.1881","1041.2154","1007.6111"," 969.2321","1027.8701"," 962.4171","1019.2217"," 986.7719","1045.0060"," 982.7053"," 943.3680","1059.4773","1039.6609"," 977.2731"," 950.8749"," 993.1018","1077.3134"," 957.9377"," 950.5754","1042.0677","1012.1924","1040.2730"," 972.2425","1078.6156"," 889.3229"," 969.2462"," 929.2084","1102.0473","1055.1975"," 925.7362"," 989.3636"," 979.3560","1043.5462"," 977.3638","1024.4602","1011.3898","1003.5190"," 984.8338"
"370.19102","1293.7925"," 500.2302","1121.5109","1054.9240","1032.9736"," 772.2261","1171.0761","1111.6247"," 565.9111"," 817.6360","1310.3969","1075.8041"," 650.1233","1109.5859","1365.7292"," 315.6957","1183.3409"," 718.1720"," 930.4202","1351.7712"," 732.0584"," 817.3835","1332.6743"," 542.3787","1357.7304"," 795.2313","1101.8815"," 951.4141"," 678.1568","1322.6539","1158.9624"," 890.9174"," 904.1066"," 938.6874"," 925.7632"," 805.4139","1120.2283"," 943.3474"
"336.94224"," 967.8130","1018.6534","1027.3633"," 959.8631","1032.0831"," 967.9962","1012.0352","1025.3839"," 997.3298"," 946.1095"," 985.1541","1079.0073"," 949.4850","1029.9647","1016.1501"," 965.2920","1000.1726"," 979.7782"," 974.7244","1057.3328","1007.3989"," 963.5350","1086.6686"," 972.9285"," 929.2787","1086.3412"," 955.0257","1036.0158"," 976.2365"," 986.5827","1054.7087"," 959.4002"," 983.4524"," 991.3685","1026.4794"," 943.0863","1045.2394","1012.6969"
"174.9828"," 903.5242","1093.7560"," 957.0253","1005.4558"," 968.6365","1012.4057","1099.5654"," 951.1161","1046.7536"," 971.4186"," 909.4660"," 990.4610","1038.6308","1030.6506"," 939.1833","1021.8871"," 995.0927","1049.9649"," 914.9281","1071.8777"," 920.2391","1014.4405","1084.6698"," 908.5036"," 986.0357","1118.7409"," 974.7561"," 968.5501"," 908.6581","1108.6681","1036.0098"," 845.9920","1165.3502","1023.4525","1008.6797"," 873.5194","1007.7628","1004.5700"
"136.0474"," 997.2614"," 973.2469"," 998.3247"," 997.2942","1026.4195","1033.3223"," 975.1834"," 975.9237","1020.7681"," 984.6658","1023.3296"," 970.1353","1044.8097"," 960.8056"," 976.6736","1059.4552","1012.9770"," 935.5125"," 977.8779","1069.9465"," 986.5766","1012.1798"," 961.9405","1041.2812","1004.2243"," 967.0996","1031.2185"," 984.0582","1135.0687"," 802.3229"," 906.0440"," 998.8426","1008.3474","1010.2592","1081.7023","1029.2087"," 958.0664"," 983.6482"
"144.10058"," 973.7026","1064.2104"," 967.4861"," 929.9447","1019.7137","1055.7745"," 918.8447","1002.0035","1003.9716"," 995.2912","1015.0228","1040.3078"," 987.1801"," 900.4544","1045.1135","1041.8124"," 934.0184"," 936.7861"," 977.9941","1063.2308","1057.1080"," 990.5321"," 936.4693","1009.3392","1049.8528"," 971.7010","1009.4851"," 956.8451","1002.1227","1042.0939"," 972.2640"," 970.9016","1014.8061","1080.5103"," 867.5215","1056.6741"," 963.3810","1067.8726"
