"sample","batch01_C05","batch01_S07","batch01_C10","batch01_S01","batch01_C03","batch01_S05","batch01_C07","batch01_S06","batch01_C08","batch01_C06","batch01_S02","batch01_S09","batch01_S04","batch01_C04","batch01_S10","batch01_C09","batch02_C05","batch02_S03","batch02_S07","batch02_C01","batch02_C10","batch02_S01","batch02_C03","batch02_S05","batch02_C07","batch02_S06","batch02_C08","batch02_C06","batch02_S02","batch02_S09","batch02_C02","batch02_S04","batch02_S08","batch02_C04","batch02_S10","batch02_C09","batch03_C05","batch03_S03","batch03_S07","batch03_C01","batch03_C10","batch03_S01","batch03_C03","batch03_S05","batch03_C07","batch03_S06","batch03_C08","batch03_C06","batch03_S02","batch03_S09","batch03_C02","batch03_S04","batch03_S08","batch03_C04","batch03_S10","batch03_C09","batch04_C05","batch04_S03","batch04_S07","batch04_C01","batch04_S01","batch04_S05","batch04_C07","batch04_S06","batch04_C08","batch04_C06","batch04_S02","batch04_S09","batch04_C02","batch04_S08","batch04_C04","batch04_S10","batch05_S03","batch05_S07","batch05_C01","batch05_C10","batch05_S01","batch05_C03","batch05_C07","batch05_C06","batch05_C02","batch05_S04","batch05_S08","batch05_C04","batch06_S03","batch06_C10","batch06_S01","batch06_C03","batch06_S05","batch06_C07","batch06_S06","batch06_C08","batch06_C06","batch06_S02","batch06_C02","batch06_S04","batch06_S08","batch06_C04","batch06_C09","batch07_C05","batch07_S03","batch07_S07","batch07_C01","batch07_C10","batch07_C03","batch07_S05","batch07_C07","batch07_S06","batch07_C08","batch07_S02","batch07_S09","batch07_C02","batch07_S04","batch07_S08","batch07_S10","batch07_C09","batch08_C05","batch08_S03","batch08_S07","batch08_C01","batch08_C10","batch08_S01","batch08_C03","batch08_S05","batch08_C07","batch08_S06","batch08_C08","batch08_S02","batch08_S09","batch08_S04","batch08_S08","batch08_C04","batch08_S10","batch08_C09"
"class","1","2","1","2","1","2","1","2","1","1","2","2","2","1","2","1","1","2","2","1","1","2","1","2","1","2","1","1","2","2","1","2","2","1","2","1","1","2","2","1","1","2","1","2","1","2","1","1","2","2","1","2","2","1","2","1","1","2","2","1","2","2","1","2","1","1","2","2","1","2","1","2","2","2","1","1","2","1","1","1","1","2","2","1","2","1","2","1","2","1","2","1","1","2","1","2","2","1","1","1","2","2","1","1","1","2","1","2","1","2","2","1","2","2","2","1","1","2","2","1","1","2","1","2","1","2","1","2","2","2","2","1","2","1"
"78.02055"," 479.5214"," 609.3368","1065.0862"," 625.5383","1098.4682"," 460.7661","1113.5280"," 533.4068"," 704.4618"," 965.6036"," 416.9283"," 475.4271"," 693.1000"," 894.8060"," 619.3812"," 625.4530"," 477.1562"," 717.7838"," 509.4480","5254.9710","1137.3361"," 946.3539","1531.3392"," 756.5027","1445.2315","1328.1143"," 752.4383","1114.4528"," 518.9421"," 864.0205"," 874.4814"," 831.4008"," 284.1689","1012.3368"," 880.6904"," 788.1502"," 432.0650"," 946.6369"," 732.3347","3145.2146","1230.2087"," 520.4605","1288.2396"," 781.2794","1213.0826","1039.5867"," 847.5312"," 967.0188"," 356.4518"," 492.3784","1469.7601"," 588.4339"," 508.3522"," 691.2178"," 592.7753"," 895.4399"," 556.3591"," 603.3945","1134.6670","2141.6565"," 674.5357"," 678.3093","1094.0365"," 889.6921"," 299.7572","1051.9221"," 990.7611"," 599.4108","1734.9469"," 370.0864","1150.5590","1044.4179","1001.9472"," 657.7888","3867.9716","1470.6124","1272.8778","3031.2429","2447.7672","2409.9562","2421.0785","1184.6496"," 495.1548","1728.6511","1293.1215","1625.3559","1934.0036","2048.6004","1163.4950","1228.0039","1130.1139","1182.5526"," 863.5157","1026.7595","1408.0388"," 938.0413"," 261.7608","1132.0094","1415.1649"," 654.0407"," 995.9533"," 744.5308","2386.1042","2071.9147","1719.5957"," 832.7858","1794.4813"," 796.0061","1836.5225"," 800.9868"," 514.5129","1210.6913"," 791.5385"," 868.8579"," 113.1599","1193.1259"," 193.3880"," 735.8192"," 761.7383","2170.7333","1750.0589"," 491.4870","1205.5475"," 697.9185","1620.5045"," 793.1075","1076.5816"," 829.0264"," 552.3072"," 880.5503"," 835.7889","1336.6559"," 400.4703","1113.8445"
"452.00345"," 779.4751","1685.9923","1361.4477","1130.4670","1827.3737"," 707.9175","1033.2651","1296.5152","1631.9340","1136.1782"," 859.6531","1272.4978","1777.8395","1474.4851","1289.8939"," 813.2882","1030.9798","1093.5266","1946.1601","1559.5715","1033.8455","1282.7565","1859.7801"," 977.6798"," 716.4742"," 883.9482","1580.1538","1160.8043","1177.5911","1429.4848","1776.1251","1882.0765","1569.0543","1296.0265","1189.3780"," 817.1075"," 908.8678","1704.6498","1651.5905","1830.4196","1309.4449","1202.9981","1901.7842","1159.0989","1101.4622","1117.7447","1753.6266","2017.9226","1336.6005","1275.8485","1841.1698","1807.1023","1643.5361","1119.3672","1175.1085","1082.8403"," 835.1196"," 721.4224","2037.0325","1521.6856","1087.0620"," 857.8797","1315.6594"," 646.3426","1093.9525","1147.8963"," 798.4346","1540.4658","2781.4735","1607.3976","1579.4811"," 959.9934","1664.2201","3041.9674","2477.3442","1626.7186","1261.9022","2215.9419","1916.9429","2258.9207","2327.7223","1407.0709","2078.2387","1580.5822","1088.3890"," 959.5671","1719.0063","3068.7110","1256.2631","1263.9745","1362.3982","1960.0926","1163.9598","1273.8401","1708.0640","1485.7840"," 962.0976","2755.3243","1283.4393"," 972.0879","1429.4305","1774.4274","1707.6692"," 800.7587","1471.9669"," 942.8109"," 878.4251","1071.7019","1198.3898"," 848.2755"," 928.1871","1712.7035","1127.5914","1265.3747","1224.6769"," 672.0815"," 763.6889"," 657.4853","1471.6148","1595.2419"," 932.6006"," 855.0010","1199.6964"," 837.3623"," 751.4690"," 712.1685","1327.9617"," 943.4879","1039.6557","1344.7552","1142.4028"," 992.3506","1125.2593"," 733.3353"
"138.96337"," 953.4937"," 756.0097"," 841.7761"," 852.9118","1060.6345","1302.1807","1196.3742","1282.9651","1085.7646"," 957.6303","1019.5482","1006.1957"," 903.0439","1036.1283"," 808.0741","1249.6879","1001.5227","1044.1304"," 835.9350","1049.5071"," 871.0707"," 893.2485","1181.7246"," 884.4560"," 954.0933"," 947.9651","1126.0407","1244.1862","1395.0134","1120.3687","1225.0372"," 767.1167"," 907.3390","1120.4706","1060.8461","1225.1408","1241.7412","1109.1542"," 755.5976","1124.2719"," 844.2218"," 759.9832"," 988.8004"," 930.5197","1506.2719","1003.4496","1544.8502","1214.7234","1226.8163","1397.6748","1678.8755","1211.8060"," 965.3711","1092.5476","1085.9691","1515.3588","1370.5714","1089.2976"," 900.4284","1155.3118"," 917.3380"," 967.5376","1207.8850","1041.6504"," 951.4131","1158.4011","1107.7194"," 947.3421","1153.9938"," 976.1556","1144.2904"," 569.5765"," 705.9314"," 663.1680"," 881.2592"," 782.7035"," 691.9442","1004.8877","1188.0186"," 901.2519"," 753.7843","1025.7581"," 852.2703","1188.5223","1036.7052"," 881.6119"," 829.1085"," 971.5817","1064.2580"," 924.4058"," 854.6820"," 965.0044","1023.6206"," 884.7137"," 866.3983","1111.2756"," 645.1414","1064.3563","1284.7705","1090.6440"," 921.2513"," 801.7504"," 612.3466"," 461.5054"," 987.8842"," 850.0762","1057.4824","1090.6896","1196.5994"," 986.5283"," 842.9840","1121.7195"," 997.6325"," 863.5258"," 882.2661","1096.4123"," 924.6043"," 797.1578"," 838.4186"," 566.1810"," 521.5357"," 604.5054"," 915.9865"," 960.2558","1014.5161"," 741.6994","1060.1808"," 991.9732","1063.8491","1020.6553","1347.9081","1435.5063","1012.0178","1355.8134"
"73.53838"," 560.4701","1235.4923","1116.6290","1483.6125"," 872.5970","1088.4259"," 696.8876"," 822.6809"," 600.3326"," 438.7862"," 800.0795"," 686.2162","1139.7360","1047.9544"," 874.5596"," 619.2416"," 643.3820","1143.8784","1483.1374"," 951.4268","1354.2609","1350.2104","1021.9125","1207.3310"," 963.5891","1139.1645"," 643.4967"," 521.6394"," 971.9793"," 726.9449"," 514.6957","1114.5721"," 865.4847"," 821.4776"," 916.0325"," 624.5628"," 587.6348"," 934.9041","1361.2448"," 910.2737","1886.9930","1343.9815"," 886.5663","1012.0022"," 725.8529"," 771.1535"," 576.0661"," 437.3514","1015.5302"," 806.3629"," 571.6613","1062.5489"," 751.2226"," 883.6926"," 823.9158"," 633.6797"," 625.3853"," 889.2224","1173.0853","1161.4629","1298.5716","1364.4636"," 694.2699","1107.5525"," 884.9000"," 482.4740","1346.8795"," 716.8140"," 565.0032"," 795.9982"," 848.2094","1299.5195","1014.8369","1684.5170"," 917.2224","1250.0261","1420.7812"," 965.1344","1005.5958"," 667.8571"," 523.4827","1442.2204","1062.0910","1146.4315"," 856.2316"," 899.7737","1645.9066","1407.1888","1502.7101"," 862.9021","1437.3259"," 704.7672"," 340.6424"," 687.5844"," 446.8425","1554.9338"," 292.3472","1472.4920"," 768.1168","1272.0842"," 998.3435","1446.1066"," 993.2732","2065.2285"," 964.7626","1058.9094"," 671.4715"," 817.9147"," 671.8606","1293.6522"," 891.2983"," 556.4159","1117.4127","1209.7745","1099.0539"," 859.1111"," 887.6807","1163.8512","1592.3434","1005.5446","1313.2375","1268.8987"," 992.5087","1047.5948"," 909.5877"," 897.8523"," 694.5489","1239.9898"," 962.4975","1598.1011","1067.8699","1060.0255","1134.0421"," 688.6712"
"385.12885","1367.4228"," 806.3645","1078.2911"," 840.7816"," 907.4935"," 853.0502","1152.1532"," 987.9779","1117.6643","1092.3682"," 799.8097"," 912.1061"," 795.6882"," 728.7092"," 746.6431","1697.6543","1316.3389"," 729.9508","1100.3150","1371.4399","1140.7733"," 897.1895","1011.5677"," 739.8524","1112.5174"," 875.4859"," 980.3396","1008.1770"," 646.9255"," 977.4602"," 833.0180"," 888.8286"," 970.9049"," 890.5590"," 817.9686","1658.2493","1400.4327"," 775.9312"," 883.4710","1321.8070","1106.4640"," 966.0731"," 965.7099"," 800.1113","1164.2328"," 872.8726","1092.8883","1102.4310"," 790.3408"," 978.1090"," 944.3195"," 772.1427"," 740.7582"," 942.4197"," 678.0262","1542.1326","1441.5690"," 856.1560"," 872.8580","1515.7798"," 739.3288"," 807.2069","1105.5818"," 725.7740","1376.3850","1059.2859"," 819.0070"," 918.5639"," 896.0194"," 803.9792"," 835.8861"," 935.6697"," 631.9405"," 736.1007","1066.2114"," 855.6643"," 853.0388"," 725.9634"," 884.7649"," 863.4833"," 918.0295"," 743.8924"," 848.3505"," 630.9599"," 710.3251","1058.5214"," 674.3745"," 844.2789"," 542.8152"," 929.9090"," 859.5099"," 865.3502"," 924.0584"," 623.2332"," 689.7959"," 646.6714"," 552.7796"," 670.1251","1552.3463","1369.5827"," 794.2975"," 860.9290","1396.2895","1283.3954","1012.0648"," 862.1295","1192.9331"," 913.0731","1217.2771"," 774.0389","1174.9228"," 881.3458"," 690.6496"," 712.5825"," 856.2819","1337.0421","1251.3696"," 837.0609"," 887.3895","1225.4162"," 958.2083"," 854.3253"," 940.8387"," 706.5792","1054.9364"," 793.5653"," 904.2621"," 719.8615"," 951.7866"," 792.7641"," 758.7775"," 859.7140"," 750.8029","1313.1810"
"237.02815"," 916.7038"," 618.8005"," 966.1883","1030.1383"," 985.1188"," 856.4181"," 848.8752","1729.5632","1634.1011"," 790.7160","1003.8939","1208.6486"," 797.4933","1240.0147"," 843.8770","1021.0458"," 932.4378","1064.7484"," 643.2367"," 841.8969","1023.9919"," 684.6151"," 508.9464"," 464.6586"," 465.2002"," 742.2839"," 942.1164"," 532.9719"," 648.3016","1293.8774"," 790.2654"," 794.8189","1229.7123","1055.5762","1015.9620","1466.8140","1030.7447"," 895.1056"," 801.5155"," 698.9340"," 929.7930"," 676.3244"," 700.7008"," 651.7374","1121.8042","1033.8255","2012.8824"," 791.7232"," 846.9959","1106.5651","1229.9654"," 893.2286"," 950.3098"," 685.2925","1059.5786","1064.5543"," 814.4942"," 917.4004"," 813.6949"," 782.0538"," 616.6634"," 653.5371"," 598.3907"," 757.1566","1242.8369"," 595.8986"," 860.9596"," 929.4544"," 685.8927"," 898.3618"," 819.9492"," 600.1692"," 753.3471"," 968.4825"," 851.8313","1316.5658"," 945.2290"," 675.0235"," 999.4912"," 572.6307"," 764.2638","1797.9164"," 623.6265","1024.8338","1671.9764","1178.5503"," 638.8469"," 450.8885"," 745.5011"," 627.4557","1457.1777"," 923.2648"," 883.1455"," 769.5509","1227.0631"," 889.4784"," 752.7152"," 613.5752","1196.9539","1120.6736"," 613.5607"," 924.1085"," 629.4961","2912.2157","1029.9708"," 636.3313"," 805.6782","1116.5079","2482.3328"," 770.2352","1348.3674"," 699.3982"," 654.3818"," 893.7755","1430.6708","1284.5426"," 928.2471","1900.5245","1201.3007","1115.5966"," 747.3293","1030.9085"," 982.4045","1178.8694"," 920.3285","1072.5367"," 872.1868"," 779.8657","1235.7574"," 788.1053","1071.3707"," 857.8146","1738.8600"," 783.3864"
"222.02744"," 935.7313"," 599.7387","1068.3312"," 662.8820"," 892.4964"," 674.6949","1031.5637","1118.1601","1297.9677"," 950.8438"," 837.4530"," 828.7088"," 613.3651","1054.9209"," 751.2807"," 626.8241","1052.8388"," 666.1049"," 843.4079","1365.7480","1341.2016"," 680.9858"," 877.1033"," 614.0387","1234.2239","1065.9550","1484.5559"," 808.6402"," 867.3424","1180.0623","1134.8860"," 695.9516","1105.8787","1042.5155"," 834.0363"," 761.5584"," 991.7678"," 724.4596"," 672.3578","1250.9727","1381.1811"," 651.1801"," 937.3025"," 708.2660","1015.6930"," 793.6368","1414.4350","1013.5238"," 977.0991","1557.2913","1213.6959"," 596.1182"," 947.8512","1061.9081","1082.4292"," 831.4837"," 876.1492"," 644.9437"," 665.8347","1263.5122"," 652.5387"," 724.4364","1082.5185","1016.3921","1436.5805"," 901.4984"," 949.2335","1306.6221"," 929.7264"," 816.4318"," 969.3943","1012.2315"," 605.8915"," 736.9884","1199.0428","1168.7583"," 626.8572"," 997.7883","1245.9127"," 858.1643"," 958.8078"," 676.2833"," 971.0930"," 947.6978"," 699.6861","1186.2889"," 647.8846"," 767.5516"," 666.1956"," 870.5046"," 917.8280","1213.8229"," 573.3075"," 662.9015"," 903.9458"," 597.6947"," 473.7273"," 825.0424"," 560.4738","1600.0923"," 952.4907"," 933.1829","1734.4039","1882.0192","1110.9125"," 732.2524","1026.4100","1015.2697","1510.2593"," 968.1981","1214.9982","1356.3976"," 779.6192","1161.2284"," 874.6475"," 895.3175","1115.1148"," 614.5698"," 889.3699","1551.7422","1513.7702"," 718.5604","1040.4649"," 734.5346","1226.5633","1011.2066","1255.5129"," 958.9692","1241.5583"," 820.9619","1026.6469","1067.7670"," 980.9484"," 720.2490"
"399.33298","4917.238","3236.027","3225.732","4347.943","3179.483","4131.662","3214.818","3673.413","3273.344","4118.919","5274.033","4007.926","5066.031","3739.548","4871.360","3560.364","5199.787","4033.799","4895.153","2936.903","3453.826","3684.355","3383.020","3803.035","3049.235","3189.931","3679.575","3560.411","4515.666","4723.977","3553.803","3643.299","4885.963","3754.783","5451.491","4073.419","4448.777","4047.239","3458.187","2621.504","3181.055","4258.212","2941.219","5750.347","2974.268","2813.477","2601.257","3524.718","4581.380","4603.171","3998.230","3779.628","3609.951","4081.761","5342.038","3756.892","4137.739","3993.423","4060.776","2767.355","3571.105","3889.404","3393.796","3381.306","5846.563","3816.173","4317.144","3074.599","3535.080","3582.076","3481.384","4948.830","3360.860","2630.822","1853.284","2237.980","2901.290","1901.917","1894.091","2681.874","2643.836","2263.817","2926.305","3317.410","2234.792","2047.047","2696.891","2018.751","2210.245","1819.926","1632.843","1643.280","1814.783","2976.245","1990.516","2635.849","2416.889","2247.843","1878.863","3031.122","2335.766","2909.433","2094.854","1803.328","1664.014","2599.937","1435.279","2011.353","1915.502","2968.835","3290.735","2145.942","2644.772","3227.828","3669.572","3101.892","3164.470","2972.164","2722.729","1751.178","3181.026","2979.483","1850.217","2821.722","1637.932","2879.105","2114.943","3279.216","3133.598","3369.508","3182.228","3058.931","4139.958","2827.502"
"394.23541"," 410.1421"," 768.0951"," 630.6188"," 660.2701"," 741.2584"," 263.8027"," 521.8128","1180.3800"," 990.6559"," 596.9352"," 735.1985"," 768.8514"," 471.1908"," 691.4950"," 658.0320"," 619.5737"," 392.8911"," 545.4671"," 899.8804"," 774.0477"," 554.9055"," 760.0700"," 633.3049"," 411.0830"," 479.3654"," 977.8545"," 941.8026"," 698.1005"," 475.9106"," 696.4463"," 288.2620"," 622.6685"," 751.7206"," 537.3139"," 766.9438"," 771.0278"," 432.5156"," 495.7497"," 714.7319"," 772.1860"," 505.3556"," 666.9647"," 830.6385"," 457.7647"," 836.4686"," 785.5627"," 690.2692"," 439.0051"," 478.3535"," 669.0551"," 271.0136"," 381.3798"," 929.4396"," 443.7315"," 668.9366"," 561.6174"," 327.7054"," 520.7403"," 806.5337"," 653.5210"," 500.9966"," 579.5424"," 459.3023"," 808.4837","1035.1615"," 490.6887"," 612.2691"," 750.0647"," 363.1194"," 740.5243"," 484.5320","1107.9056"," 578.0860"," 746.1572"," 623.6665"," 658.4796"," 520.9427"," 713.3656"," 304.0702"," 338.5695"," 466.8155"," 340.4287"," 539.4378"," 446.5427"," 283.4945"," 349.7227"," 297.2300"," 578.5618"," 270.9248"," 415.9468"," 737.7756"," 394.9729"," 460.4666"," 442.0509"," 219.3079"," 292.5354"," 433.2879"," 392.0072"," 302.0817"," 304.3292"," 407.2129"," 638.5030"," 657.0090"," 468.3696"," 666.1884"," 624.8918"," 603.3026"," 747.5553"," 656.1037"," 520.9895"," 687.3858"," 346.1025"," 366.0972"," 599.4513"," 810.5222"," 452.0035"," 518.0433"," 967.7150"," 711.5307"," 593.3843"," 748.2318"," 690.7450"," 545.1837"," 608.8354"," 606.6173"," 944.4392"," 591.3883"," 685.1599"," 793.6162"," 431.7661"," 471.0295"," 371.8776"," 659.9693"," 704.0242"
"428.03716"," 899.8706"," 870.5500","1079.9927"," 838.6407","1188.7927","1013.3235","1348.3071"," 788.2353","1083.1277","1236.0680","1006.9554"," 736.4294"," 968.2387","1072.2973"," 806.4539","1041.6897"," 972.4580","1047.1659","1203.3033","1195.3480","1142.7315"," 831.2359"," 973.4343"," 733.9021","1292.3465"," 488.6284","1038.8832","1325.7130"," 949.0989","1220.7715","1277.9810"," 976.0860","1003.1587","1077.8812"," 976.3892"," 909.8852"," 982.4923"," 980.6244","1017.8833","1260.8655","1351.7976"," 956.7424","1453.2021"," 859.5958","1329.0718"," 944.4191","1512.6805","1379.4515","1192.1711"," 895.8845","1645.0214","1103.0761"," 809.4705","1371.0951"," 800.2796"," 965.4077"," 746.1987","1005.8680"," 879.8517","1157.2621"," 770.7979"," 883.7808","1803.5519"," 362.7979","1130.8517","1343.7028","1107.3537"," 928.8873","1259.2900"," 737.8083"," 713.3743"," 836.4925"," 924.7948"," 985.5251"," 951.8720"," 901.8264"," 573.9805"," 437.9835","1892.9627","1056.2845","1165.9359"," 953.8156","1072.6365"," 750.5018"," 962.2052"," 817.6535"," 891.2798","1018.9493"," 976.1924","1135.2443"," 782.0970"," 985.1855"," 587.5586"," 550.6595"," 632.8388"," 974.2534"," 132.0761"," 752.6241"," 731.6030","1574.1115"," 981.5743","1035.8282","1064.5877","1211.7832","1266.4875"," 677.4243"," 765.0064"," 716.7585"," 650.5159"," 684.0303"," 703.2853","1301.0067"," 864.0769"," 752.8898"," 585.3794"," 873.0565"," 587.8346"," 795.0214","1061.1460","1107.1944"," 899.7567"," 817.3639","1035.2037"," 706.4869","1023.7066"," 645.6671","1006.6460"," 889.8763","1031.3649"," 921.9139"," 786.5707"," 880.3828"," 702.0051"," 909.7359"
"207.01423"," 828.0349","1191.4642","1858.5271"," 720.1263"," 983.0062"," 809.9393","1144.4844"," 606.7274"," 928.0657"," 670.1378","1128.8279"," 710.9221","1212.7307","1325.7814"," 841.8004"," 841.3779"," 824.7582"," 721.4036"," 831.8209","1386.2149","1578.8624"," 798.3806"," 953.4988"," 692.3162","1121.9734"," 556.8291"," 775.7228"," 669.4964","1031.1532"," 539.1338"," 621.9704","1243.9261"," 727.4878","1375.8565"," 834.3712"," 871.1766"," 835.1425"," 913.4987","1100.2211","1676.7136","1616.3245"," 750.8007","1030.7938"," 674.7749","1066.6301"," 778.6842","1014.8385"," 695.4144","1016.6603"," 529.7701"," 655.1453","1093.5223"," 831.9753","1439.2333"," 731.5272"," 787.2071"," 874.3809"," 766.8900","1043.1706","1394.7628"," 782.7713"," 656.9854","1081.0303"," 546.1900"," 763.1247"," 696.2831"," 989.3360"," 697.3538"," 804.4177"," 865.7986","1573.2110"," 745.5169"," 895.9831","1035.2429","1778.8917","1934.7289"," 831.8985","1143.9634","1104.7495"," 702.4940"," 872.5281","1207.3613"," 843.9588","1284.9146"," 908.7646","1997.3418"," 714.1300","1131.9668"," 795.6863","1228.4135"," 728.2106","1122.9181"," 937.0931","1366.1381"," 917.4107","1219.1937"," 980.7631","1406.6402","1085.6623"," 746.6587"," 825.8318","1037.1431","1272.5124","1456.0647","1159.7494"," 773.3727","1342.3345"," 684.3071"," 967.4629"," 963.5244"," 612.6982"," 769.7976","1168.7681"," 687.5199"," 757.2355"," 778.3265"," 816.4436"," 711.5901","1010.2823","1706.8698","1370.2926"," 741.7548","1073.7901"," 744.8717","1105.9198"," 671.1979"," 940.7557"," 990.9714"," 596.7458","1071.1052"," 733.9551","1580.1513"," 727.4440"," 961.8271"
"210.06077","1450.3327"," 802.0450","1042.9307"," 974.4292","1146.3388","1558.8494","1504.9724"," 664.3507","1601.6076","1466.2490","1523.4074","1247.3104"," 995.1207","1120.6540","1003.6505","1116.4136","2228.3627","1492.6460","1236.7343"," 859.2211"," 848.1268","1035.3350"," 698.5363","1200.9583","1128.9425","1224.5422"," 997.4888","1494.9515","1126.4388","1378.8550","1242.9257"," 877.8412","1094.5040"," 662.3278","1223.9405","1397.2849","2267.4731","1659.9619","1567.9826"," 615.3471","1142.0991"," 927.1042"," 914.2771","1077.6119","1047.4174"," 622.5550","1481.9805","1031.5476"," 933.5460","1005.9394","1309.5746"," 841.6607","1138.5305"," 432.0475"," 966.1727"," 632.3006","1981.4078","1050.5214","1035.4244"," 549.8070","1032.3760"," 634.0863","1112.2821"," 907.6643","1388.8434","1128.6735","1209.7217","1224.0891"," 695.0959","1025.5016"," 631.8341","1193.5157"," 861.8374"," 757.9453"," 600.6723"," 637.8212"," 947.2372"," 909.7048"," 842.1027","1074.7474"," 640.0249","1416.1767"," 981.7353"," 403.5358"," 857.2760","1100.4645"," 742.3603","1037.7400"," 666.9709"," 922.4064","1053.6405","1054.5081"," 742.5831","1311.3477"," 605.0932","1102.8360"," 621.8808","1143.3612","1054.6344","2382.4518"," 855.4010","1023.3418"," 913.8342"," 904.3243"," 772.0344","1347.4711"," 714.2182"," 924.0634","1059.4638","1076.9418"," 941.5474","1032.4133"," 983.6059"," 950.3747","1026.1721","1346.4034","1890.8581","1430.8830"," 856.9916","1011.9821","1016.0323","1088.4977","1194.1581","1541.8870"," 896.8627","1060.1880"," 668.9955"," 988.1661"," 874.4694"," 858.8782"," 633.5233"," 965.9651"," 986.2429","1207.0261"
